<dc:identifier>$<dc:title>$<dc:creator>$<dc:creator>$<dc:creator>$<dc:creator>$<dc:contributor>$<dc:contributor>$<dc:contributor>$<dc:contributor>$<dc:type>$<dc:type>$<dc:type>$<dc:type>$<dc:date type="dcterms:W3CDTF">$<dc:format>$<dc:format type="dcterms:extent">$<dc:format>$<dc:format type="dcterms:extent">$dc:publisher$<dc:description>$<dc:rights>$<dc:relation type="dcterms:hasVersion">$<dc:relation type="dcterms:hasVersion">$<dc:relation type="dcterms:hasVersion">
liv_000098$Fragment of 1871 Field Diary, 23 October 1871-3 November 1871$Livingstone, David, 1813-1873$$$$$$$$field notes$diaries$$spectral color$1871-10-23$Incomplete manuscript in creator's hand$4$2 folia, folded to create 4 pages, with writing on 4 pages$166 x 154$Livingstone Online (http://livingstoneonline.org/)$Original item held by Bodleian Library. Weston Library. Waller MSS. Afr. s. 16.1, f. 172$Images copyright the Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).$$$
liv_000201$Fragment of 1870 Field Diary (I-IV), 18, 24 August 1870$Livingstone, David, 1813-1873$$$$$$$$field notes$diaries$$spectral color$1870-08-18$Incomplete manuscript in creator's hand$4$1 folio, folded to create 4 pages, with writing on 4 pages$$Livingstone Online (http://livingstoneonline.org/)$Original item held by British Library. Add. MS. 50184, f. 169$Images &#169; British Library Board, Shelfmark Add. MS. 50184, 169r and 169v. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).$$$
liv_000212$Transcription of Fragment of 1870 Field Diary, 25 August-8 October 1870$Livingstone, David, 1813-1873$Livingstone, Agnes 3, 1847-1912$$$$$$$field notes$diaries$copies (derivative objects)$spectral color$1870-08-25$Manuscript copy in another hand$7$$$Livingstone Online (http://livingstoneonline.org/)$Original item held by Bodleian Library. Weston Library. Waller MSS. Afr. s. 16.6$Images copyright the Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).$$$
liv_000213$Transcription of Fragment of 1870 Field Diary, 16 October 1870$Livingstone, David, 1813-1873$Livingstone, Agnes 3, 1847-1912$$$$$$$field notes$diaries$copies (derivative objects)$spectral color$1870-10-16$Manuscript copy in another hand$3$$$Livingstone Online (http://livingstoneonline.org/)$Original item held by Bodleian Library. Weston Library. Waller MSS. Afr. s. 16.6$Images copyright the Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).$$$
