Title$Item Title & Copyright Info
liv_000095_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1871 Field Diary (CII-CLXIII), 23 March 1871-11 August 1871. Copyright David Livingstone Centre, Blantyre. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000096_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1871 Field Diary, 11 August 1871-9 September 1871. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000097_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1871 Field Diary, 28 September 1871-7 October 1871. Copyright David Livingstone Centre, Blantyre. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000098_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1871 Field Diary, 23 October 1871-3 November 1871. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000200_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1870 Field Diary, 17, 24 August 1870. Copyright David Livingstone Centre, Blantyre. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000201_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1870 Field Diary (I-IV), 18, 24 August 1870. Images copyright British Library Board, Shelfmark Add. MS. 50184, 169r and 169v. Used by permission. 
liv_000202_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1870 Field Diary (X-XIII), 10 October 1870. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000203_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1870 Field Diary (XIV), 13 October 1870. Copyright David Livingstone Centre, Blantyre. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000204_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1870 Field Diary (XVII-XX), 19-31 October 1870. Copyright David Livingstone Centre, Blantyre. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000205_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1870 Field Diary (XXI-LXI), 3-15 November 1870. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000206_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1870 Field Diary (LXII-LXIX), 22 November-10 December 1870. Copyright David Livingstone Centre, Blantyre. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
