new$old
liv_000097_0001$DLC1120b_001_001r_TEI
liv_000097_0002$DLC1120b_001_001v_TEI
liv_000095_0008$DLC297b_116_003r_TEI
liv_000095_0009$DLC297b_117_003v_TEI
liv_000095_0010$DLC297b_118_004v_TEI
liv_000095_0011$DLC297b_119_004r_TEI
liv_000095_0034$DLC297b_133-162_005v_TEI
liv_000095_0033$DLC297b_135-160_006v_TEI
liv_000095_0032$DLC297b_137-158_007v_TEI
liv_000095_0031$DLC297b_139-156_008v_TEI
liv_000095_0030$DLC297b_141-154_009v_TEI
liv_000095_0029$DLC297b_143-152_010v_TEI
liv_000095_0028$DLC297b_145-150_011v_TEI
liv_000095_0027$DLC297b_147-148_012v_TEI
liv_000095_0026$DLC297b_149-146_012r_TEI
liv_000095_0025$DLC297b_151-144_011r_TEI
liv_000095_0024$DLC297b_153-142_010r_TEI
liv_000095_0023$DLC297b_155-140_009r_TEI
liv_000095_0022$DLC297b_157-138_008r_TEI
liv_000095_0021$DLC297b_159-136_007r_TEI
liv_000095_0020$DLC297b_161-134_006r_TEI
liv_000095_0019$DLC297b_163-132_005r_TEI
liv_000095_0018$DLC297c_103-132_001v_TEI
liv_000095_0017$DLC297c_105-130_002v_TEI
liv_000095_0016$DLC297c_107-128_003v_TEI
liv_000095_0015$DLC297c_109-126_004v_TEI
liv_000095_0014$DLC297c_111-124_005v_TEI
liv_000095_0013$DLC297c_113-122_006v_TEI
liv_000095_0012$DLC297c_115-120_007v_TEI
liv_000095_0007$DLC297c_121-114_007r_TEI
liv_000095_0006$DLC297c_123-112_006r_TEI
liv_000095_0005$DLC297c_125-110_005r_TEI
liv_000095_0004$DLC297c_127-108_004r_TEI
liv_000095_0003$DLC297c_129-106_003r_TEI
liv_000095_0002$DLC297c_131-104_002r_TEI
liv_000095_0001$DLC297c_133-102_001r_TEI
liv_000096_0001$NLS10703_001_036r_TEI
liv_000096_0002$NLS10703_001_039v_TEI
liv_000096_0003$NLS10703_002_037r_TEI
liv_000096_0004$NLS10703_002_038v_TEI
liv_002564_0001$PB_001_001r_TEI
liv_002564_0002$PB_001_001v_TEI
liv_002564_0003$PB_002_002r_TEI
liv_002564_0004$PB_002_002v_TEI
