reg$trans
liv_000095_0001$liv_000095_0001a
liv_000095_0018$liv_000095_0018a
liv_000095_0002$liv_000095_0002a
liv_000095_0017$liv_000095_0017a
liv_000095_0003$liv_000095_0003a
liv_000095_0016$liv_000095_0016a
liv_000095_0004$liv_000095_0004a
liv_000095_0015$liv_000095_0015a
liv_000095_0005$liv_000095_0005a
liv_000095_0014$liv_000095_0014a
liv_000095_0006$liv_000095_0006a
liv_000095_0013$liv_000095_0013a
liv_000095_0007$liv_000095_0007a
liv_000095_0012$liv_000095_0012a
liv_000095_0011$liv_000095_0011a
liv_000095_0008$liv_000095_0008a
liv_000095_0009$liv_000095_0009a
liv_000095_0010$liv_000095_0010a
liv_000095_0019$liv_000095_0019a
liv_000095_0034$liv_000095_0034a
liv_000095_0020$liv_000095_0020a
liv_000095_0033$liv_000095_0033a
liv_000095_0021$liv_000095_0021a
liv_000095_0032$liv_000095_0032a
liv_000095_0022$liv_000095_0022a
liv_000095_0031$liv_000095_0031a
liv_000095_0023$liv_000095_0023a
liv_000095_0030$liv_000095_0030a
liv_000095_0024$liv_000095_0024a
liv_000095_0029$liv_000095_0029a
liv_000095_0025$liv_000095_0025a
liv_000095_0028$liv_000095_0028a
liv_000095_0026$liv_000095_0026a
liv_000095_0027$liv_000095_0027a
